ID,Name,Contact,Location,Latitude,Longitude,Food Types Accepted,City
1,Roti Bank Mumbai,+91 8655550063,"Chinchpokli West, Mumbai",18.9784,72.832,Packaged Food & Fresh Cooked Meals,Mumbai
2,Feeding India - Mumbai Chapter,+91 9876543210,"Andheri East, Mumbai",19.1144,72.8679,Non-perishable Items & Fresh Produce,Mumbai
3,Robin Hood Army Mumbai,contact@robinhoodarmy.com,"Bandra West, Mumbai",19.0544,72.8402,All Types of Food & Beverages,Mumbai
4,Mumbai Food Project,+91 9922334455,"Worli, Mumbai",19.0159,72.817,Grains & Packaged Foods,Mumbai
5,Food Matters India,info@foodmatters.in,"Colaba, Mumbai",18.9067,72.8147,Fresh & Packaged Food,Mumbai
6,Give India Food Bank,+91 9876543211,"Dadar West, Mumbai",19.0186,72.8424,Non-perishable Food Items,Mumbai
7,Hands That Feed,handsthatfeed@email.com,"Ghatkopar, Mumbai",19.086,72.9083,Fresh Produce & Dry Rations,Mumbai
8,Food Warriors Mumbai,+91 9933221100,"Malad West, Mumbai",19.1875,72.8425,All Food Types,Mumbai
9,Share My Plate,contact@shareplate.org,"Goregaon, Mumbai",19.1551,72.8497,Packaged & Fresh Food,Mumbai
10,Mumbai Meals,meals@mumbai.org,"Powai, Mumbai",19.12,72.9056,Cooked Meals & Dry Rations,Mumbai
11,Hunger Heroes,+91 9876543212,"Chembur, Mumbai",19.0626,72.8966,All Types of Food,Mumbai
12,Feed The Need,needhelp@feed.org,"Kandivali, Mumbai",19.2057,72.8526,Non-perishable Items,Mumbai
13,No Waste Mumbai,nowaste@email.com,"Borivali, Mumbai",19.2288,72.8541,Fresh & Packaged Food,Mumbai
14,Food Army,foodarmy@help.com,"Kurla, Mumbai",19.0658,72.8795,All Food Types,Mumbai
15,Hope Foundation Bank,+91 9876543213,"Santacruz, Mumbai",19.0817,72.8415,Dry Rations & Fresh Food,Mumbai
16,Helping Hands Mumbai,help@hands.org,"Vikhroli, Mumbai",19.1053,72.9344,Non-perishable & Fresh Food,Mumbai
17,Mumbai Food Network,network@food.org,"Juhu, Mumbai",19.1,72.8267,All Types of Food,Mumbai
18,Care & Share,care@share.com,"Sion, Mumbai",19.0428,72.8612,Packaged Food & Fresh Produce,Mumbai
